period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2010,SAK,AK,EPD0,Distillate Fuel Oil,VAR,Adj Sales/Deliveries to Residential Consumers,KD0VARSAK1,Alaska Total Distillate Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),54342,MGAL
2010,SAL,AL,EPD0,Distillate Fuel Oil,VAR,Adj Sales/Deliveries to Residential Consumers,KD0VARSAL1,Alabama Total Distillate Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),6745,MGAL
2010,SAR,AR,EPD0,Distillate Fuel Oil,VAR,Adj Sales/Deliveries to Residential Consumers,KD0VARSAR1,Arkansas Total Distillate Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),527,MGAL
2010,SAZ,AZ,EPD0,Distillate Fuel Oil,VAR,Adj Sales/Deliveries to Residential Consumers,KD0VARSAZ1,Arizona Total Distillate Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),100,MGAL
2010,SCA,CA,EPD0,Distillate Fuel Oil,VAR,Adj Sales/Deliveries to Residential Consumers,KD0VARSCA1,California Total Distillate Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),5842,MGAL
2010,SCO,CO,EPD0,Distillate Fuel Oil,VAR,Adj Sales/Deliveries to Residential Consumers,KD0VARSCO1,Colorado Total Distillate Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),437,MGAL
2010,SCT,CT,EPD0,Distillate Fuel Oil,VAR,Adj Sales/Deliveries to Residential Consumers,KD0VARSCT1,Connecticut Total Distillate Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),450870,MGAL
2010,SDE,DE,EPD0,Distillate Fuel Oil,VAR,Adj Sales/Deliveries to Residential Consumers,KD0VARSDE1,Delaware Total Distillate Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),22752,MGAL
2010,SFL,FL,EPD0,Distillate Fuel Oil,VAR,Adj Sales/Deliveries to Residential Consumers,KD0VARSFL1,Florida Total Distillate Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),1780,MGAL
2010,SGA,GA,EPD0,Distillate Fuel Oil,VAR,Adj Sales/Deliveries to Residential Consumers,KD0VARSGA1,Georgia Total Distillate Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),839,MGAL
2010,SHI,HI,EPD0,Distillate Fuel Oil,VAR,Adj Sales/Deliveries to Residential Consumers,KD0VARSHI1,Hawaii Total Distillate Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),4,MGAL
2010,SIA,IA,EPD0,Distillate Fuel Oil,VAR,Adj Sales/Deliveries to Residential Consumers,KD0VARSIA1,Iowa Total Distillate Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),9520,MGAL
2010,SID,ID,EPD0,Distillate Fuel Oil,VAR,Adj Sales/Deliveries to Residential Consumers,KD0VARSID1,Idaho Total Distillate Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),6519,MGAL
2010,SIL,IL,EPD0,Distillate Fuel Oil,VAR,Adj Sales/Deliveries to Residential Consumers,KD0VARSIL1,Illinois Total Distillate Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),5831,MGAL
2010,SIN,IN,EPD0,Distillate Fuel Oil,VAR,Adj Sales/Deliveries to Residential Consumers,KD0VARSIN1,Indiana Total Distillate Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),12904,MGAL
2010,SKS,KS,EPD0,Distillate Fuel Oil,VAR,Adj Sales/Deliveries to Residential Consumers,KD0VARSKS1,Kansas Total Distillate Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),127,MGAL
2010,SKY,KY,EPD0,Distillate Fuel Oil,VAR,Adj Sales/Deliveries to Residential Consumers,KD0VARSKY1,Kentucky Total Distillate Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),5615,MGAL
