period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2010,SAK,AK,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSAK1,Alaska Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),612,MGAL
2010,SAL,AL,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSAL1,Alabama Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),634,MGAL
2010,SAR,AR,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSAR1,Arkansas Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),231,MGAL
2010,SAZ,AZ,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSAZ1,Arizona Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),2,MGAL
2010,SCA,CA,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSCA1,California Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),6043,MGAL
2010,SCO,CO,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSCO1,Colorado Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),249,MGAL
2010,SCT,CT,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSCT1,Connecticut Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),1794,MGAL
2010,SDE,DE,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSDE1,Delaware Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),1672,MGAL
2010,SFL,FL,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSFL1,Florida Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),1287,MGAL
2010,SGA,GA,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSGA1,Georgia Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),1465,MGAL
2010,SHI,HI,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSHI1,Hawaii Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),0,MGAL
2010,SIA,IA,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSIA1,Iowa Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),623,MGAL
